iteration,question_id,synthetic_fraction,top1_provenance,drift_score
1,1,0.000,human,0.000
1,2,0.000,human,0.000
1,3,0.000,human,0.229
1,4,0.000,human,0.439
1,5,0.000,human,0.426
1,6,0.000,human,0.688
1,7,0.000,human,0.000
1,8,0.000,human,0.656
1,9,0.000,human,0.000
1,10,0.000,human,0.079
1,11,0.000,human,0.916
1,12,0.000,human,0.250
1,13,0.000,human,0.185
1,14,0.000,human,0.300
1,15,0.000,human,0.000
2,1,0.000,human,0.000
2,2,0.000,human,0.431
2,3,0.000,human,0.200
2,4,0.000,human,0.534
2,5,0.000,human,0.182
2,6,0.000,human,0.688
2,7,0.000,human,0.033
2,8,0.000,human,0.604
2,9,0.000,human,0.231
2,10,0.000,human,0.000
2,11,0.000,human,0.915
2,12,0.000,human,0.057
2,13,0.000,human,0.154
2,14,0.000,human,0.513
2,15,0.000,human,0.0003,1,0.600,generated,0.000
3,2,0.600,human,0.310
3,3,0.400,human,0.200
3,4,0.400,generated,0.439
3,5,0.400,generated,0.426
3,6,0.400,generated,0.593
3,7,0.400,generated,0.033
3,8,0.400,generated,0.696
3,9,0.400,generated,0.000
3,10,0.400,generated,0.000
3,11,0.400,generated,0.916
3,12,0.400,generated,0.250
3,13,0.400,generated,0.154
3,14,0.400,generated,0.258
3,15,0.400,generated,0.439
4,1,0.600,generated,0.000
4,2,0.800,generated,0.310
4,3,0.600,human,0.229
4,4,0.600,generated,0.750
4,5,0.600,generated,0.426
4,6,0.400,generated,0.692
4,7,0.400,generated,0.033
4,8,0.400,generated,0.696
4,9,0.400,generated,0.000
4,10,0.400,generated,0.000
4,11,0.400,generated,0.916
4,12,0.400,generated,0.250
4,13,0.400,generated,0.154
4,14,0.400,generated,0.258
4,15,0.400,generated,0.000
5,1,0.600,generated,0.000
5,2,0.800,generated,0.780
5,3,0.600,human,0.200
5,4,0.600,generated,0.762
5,5,0.600,generated,0.426
5,6,0.600,generated,0.593
5,7,0.600,generated,0.033
5,8,0.600,generated,0.696
5,9,0.600,generated,0.000
5,10,0.600,generated,0.000
5,11,0.800,generated,0.916
5,12,0.800,generated,0.057
5,13,0.600,generated,0.154
5,14,0.600,generated,0.258
5,15,0.600,generated,0.439
6,1,1.000,generated,0.000
6,2,0.800,generated,0.780
6,3,0.800,human,0.229
6,4,0.800,generated,0.762
6,5,1.000,generated,0.156
6,6,0.800,generated,0.593
6,7,1.000,generated,0.033
6,8,0.800,generated,0.696
6,9,1.000,generated,0.000
6,10,1.000,generated,0.000
6,11,1.000,generated,0.916
6,12,0.800,generated,0.250
6,13,1.000,generated,0.154
6,14,1.000,generated,0.258
6,15,0.800,generated,0.439
7,1,1.000,generated,0.000
7,2,0.800,generated,0.780
7,3,0.800,human,0.229
7,4,0.800,generated,0.762
7,5,1.000,generated,0.426
7,6,0.800,generated,0.593
7,7,1.000,generated,0.033
7,8,0.800,generated,0.696
7,9,1.000,generated,0.000
7,10,1.000,generated,0.000
7,11,1.000,generated,0.916
7,12,0.800,generated,0.250
7,13,1.000,generated,0.154
7,14,1.000,generated,0.258
7,15,0.800,generated,0.439
8,1,1.000,generated,0.000
8,2,0.800,generated,0.780
8,3,0.800,human,0.229
8,4,1.000,generated,0.762
8,5,1.000,generated,0.426
8,6,1.000,generated,0.593
8,7,1.000,generated,0.033
8,8,0.800,generated,0.696
8,9,1.000,generated,0.000
8,10,1.000,generated,0.000
8,11,1.000,generated,0.916
8,12,0.800,generated,0.250
8,13,1.000,generated,0.154
8,14,1.000,generated,0.258
8,15,0.800,generated,0.439
9,1,1.000,generated,0.000
9,2,0.800,generated,0.780
9,3,0.800,human,0.229
9,4,1.000,generated,0.439
9,5,1.000,generated,0.426
9,6,1.000,generated,0.593
9,7,1.000,generated,0.033
9,8,0.800,generated,0.696
9,9,1.000,generated,0.000
9,10,1.000,generated,0.000
9,11,1.000,generated,0.916
9,12,1.000,generated,0.250
9,13,1.000,generated,0.154
9,14,1.000,generated,0.258
9,15,0.800,generated,0.439
10,1,1.000,generated,0.000
10,2,1.000,generated,0.780
10,3,0.800,human,0.229
10,4,1.000,generated,0.439
10,5,1.000,generated,0.426
10,6,1.000,generated,0.593
10,7,1.000,generated,0.033
10,8,0.800,generated,0.696
10,9,1.000,generated,0.000
10,10,1.000,generated,0.000
10,11,1.000,generated,0.916
10,12,1.000,generated,0.250
10,13,1.000,generated,0.154
10,14,1.000,generated,0.258
10,15,0.800,generated,0.439
