iteration,question_id,synthetic_fraction,top1_provenance,drift_score
1,1,0.000,human,0.406
1,2,0.000,human,0.439
1,3,0.000,human,0.200
1,4,0.000,human,0.611
1,5,0.000,human,0.481
1,6,0.000,human,0.688
1,7,0.000,human,0.000
1,8,0.000,human,0.477
1,9,0.000,human,0.000
1,10,0.000,human,0.079
1,11,0.000,human,0.916
1,12,0.000,human,0.227
1,13,0.000,human,0.154
1,14,0.000,human,0.370
1,15,0.000,human,0.000
2,1,0.000,human,0.000
2,2,0.000,human,0.026
2,3,0.000,human,0.200
2,4,0.000,human,0.623
2,5,0.000,human,0.732
2,6,0.000,human,0.647
2,7,0.000,human,0.000
2,8,0.000,human,0.529
2,9,0.000,human,0.231
2,10,0.000,human,0.000
2,11,0.000,human,0.663
2,12,0.000,human,0.327
2,13,0.000,human,0.200
2,14,0.000,human,0.655
2,15,0.000,human,0.000
3,1,0.000,human,0.000
3,2,0.000,human,0.000
3,3,0.000,human,0.063
3,4,0.000,human,0.797
3,5,0.000,human,0.481
3,6,0.000,human,0.600
3,7,0.000,human,0.000
3,8,0.000,human,0.479
3,9,0.000,human,0.231
3,10,0.000,human,0.079
3,11,0.000,human,0.915
3,12,0.000,human,0.227
3,13,0.000,human,0.154
3,14,0.000,human,0.542
3,15,0.000,human,0.000
4,1,0.000,human,0.000
4,2,0.000,human,0.439
4,3,0.000,human,0.229
4,4,0.000,human,0.441
4,5,0.000,human,0.460
4,6,0.000,human,0.642
4,7,0.000,human,0.000
4,8,0.000,human,0.620
4,9,0.000,human,0.231
4,10,0.000,human,0.079
4,11,0.000,human,0.915
4,12,0.000,human,0.267
4,13,0.000,human,0.310
4,14,0.000,human,0.000
4,15,0.000,human,0.000
5,1,0.000,human,0.000
5,2,0.000,human,0.431
5,3,0.000,human,0.200
5,4,0.000,human,0.404
5,5,0.000,human,0.640
5,6,0.000,human,0.697
5,7,0.000,human,0.000
5,8,0.000,human,0.451
5,9,0.000,human,0.000
5,10,0.000,human,0.000
5,11,0.000,human,0.866
5,12,0.000,human,0.132
5,13,0.000,human,0.276
5,14,0.000,human,0.269
5,15,0.000,human,0.000
6,1,0.000,human,0.000
6,2,0.000,human,0.439
6,3,0.000,human,0.200
6,4,0.000,human,0.729
6,5,0.000,human,0.308
6,6,0.000,human,0.659
6,7,0.000,human,0.000
6,8,0.000,human,0.620
6,9,0.000,human,0.444
6,10,0.000,human,0.079
6,11,0.000,human,0.915
6,12,0.000,human,0.029
6,13,0.000,human,0.154
6,14,0.000,human,0.020
6,15,0.000,human,0.000
7,1,0.000,human,0.000
7,2,0.000,human,0.431
7,3,0.000,human,0.200
7,4,0.000,human,0.569
7,5,0.000,human,0.649
7,6,0.000,human,0.684
7,7,0.000,human,0.033
7,8,0.000,human,0.570
7,9,0.000,human,0.231
7,10,0.000,human,0.079
7,11,0.000,human,0.915
7,12,0.000,human,0.267
7,13,0.000,human,0.154
7,14,0.000,human,0.701
7,15,0.000,human,0.000
8,1,0.000,human,0.231
8,2,0.000,human,0.000
8,3,0.000,human,0.200
8,4,0.000,human,0.625
8,5,0.000,human,0.632
8,6,0.000,human,0.688
8,7,0.000,human,0.033
8,8,0.000,human,0.620
8,9,0.000,human,0.000
8,10,0.000,human,0.079
8,11,0.000,human,0.915
8,12,0.000,human,0.000
8,13,0.000,human,0.185
8,14,0.000,human,0.233
8,15,0.000,human,0.000
9,1,0.000,human,0.000
9,2,0.000,human,0.000
9,3,0.000,human,0.200
9,4,0.000,human,0.500
9,5,0.000,human,0.482
9,6,0.000,human,0.688
9,7,0.000,human,0.000
9,8,0.000,human,0.560
9,9,0.000,human,0.231
9,10,0.000,human,0.000
9,11,0.000,human,0.915
9,12,0.000,human,0.209
9,13,0.000,human,0.323
9,14,0.000,human,0.000
9,15,0.000,human,0.226
10,1,0.000,human,0.000
10,2,0.000,human,0.026
10,3,0.000,human,0.063
10,4,0.000,human,0.661
10,5,0.000,human,0.391
10,6,0.000,human,0.688
10,7,0.000,human,0.033
10,8,0.000,human,0.645
10,9,0.000,human,0.444
10,10,0.000,human,0.000
10,11,0.000,human,0.916
10,12,0.000,human,0.278
10,13,0.000,human,0.250
10,14,0.000,human,0.664
10,15,0.000,human,0.226
