iteration,question_id,tier,synthetic_fraction,top1_provenance
1,21,B1,0.000,human
1,22,B1,0.000,human
1,23,B1,0.000,human
1,24,B1,0.000,human
1,25,B1,0.000,human
1,26,B1,0.000,human
1,27,B1,0.000,human
1,28,B1,0.000,human
1,29,B1,0.000,human
1,30,B1,0.000,human
1,41,B2,0.000,human
1,42,B2,0.000,human
1,43,B2,0.000,human
1,44,B2,0.000,human
1,45,B2,0.000,human
1,46,B2,0.000,human
1,47,B2,0.000,human
1,48,B2,0.000,human
1,49,B2,0.000,human
1,50,B2,0.000,human
2,21,B1,0.000,human
2,22,B1,0.000,human
2,23,B1,0.000,human
2,24,B1,0.000,human
2,25,B1,0.000,human
2,26,B1,0.000,human
2,27,B1,0.000,human
2,28,B1,0.000,human
2,29,B1,0.000,human
2,30,B1,0.000,human
2,41,B2,0.000,human
2,42,B2,0.000,human
2,43,B2,0.000,human
2,44,B2,0.000,human
2,45,B2,0.000,human
2,46,B2,0.000,human
2,47,B2,0.000,human
2,48,B2,0.000,human
2,49,B2,0.000,human
2,50,B2,0.000,human
3,21,B1,0.000,human
3,22,B1,0.000,human
3,23,B1,0.000,human
3,24,B1,0.000,human
3,25,B1,0.000,human
3,26,B1,0.000,human
3,27,B1,0.000,human
3,28,B1,0.000,human
3,29,B1,0.000,human
3,30,B1,0.000,human
3,41,B2,0.000,human
3,42,B2,0.000,human
3,43,B2,0.000,human
3,44,B2,0.000,human
3,45,B2,0.000,human
3,46,B2,0.000,human
3,47,B2,0.000,human
3,48,B2,0.000,human
3,49,B2,0.000,human
3,50,B2,0.000,human
4,21,B1,0.000,human
4,22,B1,0.000,human
4,23,B1,0.000,human
4,24,B1,0.000,human
4,25,B1,0.000,human
4,26,B1,0.000,human
4,27,B1,0.000,human
4,28,B1,0.000,human
4,29,B1,0.000,human
4,30,B1,0.000,human
4,41,B2,0.000,human
4,42,B2,0.000,human
4,43,B2,0.000,human
4,44,B2,0.000,human
4,45,B2,0.000,human
4,46,B2,0.000,human
4,47,B2,0.000,human
4,48,B2,0.000,human
4,49,B2,0.000,human
4,50,B2,0.000,human
5,21,B1,0.000,human
5,22,B1,0.000,human
5,23,B1,0.000,human
5,24,B1,0.000,human
5,25,B1,0.000,human
5,26,B1,0.000,human
5,27,B1,0.000,human
5,28,B1,0.000,human
5,29,B1,0.000,human
5,30,B1,0.000,human
5,41,B2,0.000,human
5,42,B2,0.000,human
5,43,B2,0.000,human
5,44,B2,0.000,human
5,45,B2,0.000,human
5,46,B2,0.000,human
5,47,B2,0.000,human
5,48,B2,0.000,human
5,49,B2,0.000,human
5,50,B2,0.000,human
6,21,B1,0.000,human
6,22,B1,0.000,human
6,23,B1,0.000,human
6,24,B1,0.000,human
6,25,B1,0.000,human
6,26,B1,0.000,human
6,27,B1,0.000,human
6,28,B1,0.000,human
6,29,B1,0.000,human
6,30,B1,0.000,human
6,41,B2,0.000,human
6,42,B2,0.000,human
6,43,B2,0.000,human
6,44,B2,0.000,human
6,45,B2,0.000,human
6,46,B2,0.000,human
6,47,B2,0.000,human
6,48,B2,0.000,human
6,49,B2,0.000,human
6,50,B2,0.000,human
7,21,B1,0.000,human
7,22,B1,0.000,human
7,23,B1,0.000,human
7,24,B1,0.000,human
7,25,B1,0.000,human
7,26,B1,0.000,human
7,27,B1,0.000,human
7,28,B1,0.000,human
7,29,B1,0.000,human
7,30,B1,0.000,human
7,41,B2,0.000,human
7,42,B2,0.000,human
7,43,B2,0.000,human
7,44,B2,0.000,human
7,45,B2,0.000,human
7,46,B2,0.000,human
7,47,B2,0.000,human
7,48,B2,0.000,human
7,49,B2,0.000,human
7,50,B2,0.000,human
8,21,B1,0.000,human
8,22,B1,0.000,human
8,23,B1,0.000,human
8,24,B1,0.000,human
8,25,B1,0.000,human
8,26,B1,0.000,human
8,27,B1,0.000,human
8,28,B1,0.000,human
8,29,B1,0.000,human
8,30,B1,0.000,human
8,41,B2,0.000,human
8,42,B2,0.000,human
8,43,B2,0.000,human
8,44,B2,0.000,human
8,45,B2,0.000,human
8,46,B2,0.000,human
8,47,B2,0.000,human
8,48,B2,0.000,human
8,49,B2,0.000,human
8,50,B2,0.000,human
9,21,B1,0.000,human
9,22,B1,0.000,human
9,23,B1,0.000,human
9,24,B1,0.000,human
9,25,B1,0.000,human
9,26,B1,0.000,human
9,27,B1,0.000,human
9,28,B1,0.000,human
9,29,B1,0.000,human
9,30,B1,0.000,human
9,41,B2,0.000,human
9,42,B2,0.000,human
9,43,B2,0.000,human
9,44,B2,0.000,human
9,45,B2,0.000,human
9,46,B2,0.000,human
9,47,B2,0.000,human
9,48,B2,0.000,human
9,49,B2,0.000,human
9,50,B2,0.000,human
10,21,B1,0.000,human
10,22,B1,0.000,human
10,23,B1,0.000,human
10,24,B1,0.000,human
10,25,B1,0.000,human
10,26,B1,0.000,human
10,27,B1,0.000,human
10,28,B1,0.000,human
10,29,B1,0.000,human
10,30,B1,0.000,human
10,41,B2,0.000,human
10,42,B2,0.000,human
10,43,B2,0.000,human
10,44,B2,0.000,human
10,45,B2,0.000,human
10,46,B2,0.000,human
10,47,B2,0.000,human
10,48,B2,0.000,human
10,49,B2,0.000,human
10,50,B2,0.000,human
