iteration,question_id,set,synthetic_fraction,top1_provenance
1,11,B,0.000,human
1,12,B,0.000,human
1,13,B,0.000,human
1,14,B,0.000,human
1,15,B,0.000,human
2,11,B,0.000,human
2,12,B,0.000,human
2,13,B,0.000,human
2,14,B,0.000,human
2,15,B,0.000,human
3,11,B,0.000,human
3,12,B,0.000,human
3,13,B,0.000,human
3,14,B,0.000,human
3,15,B,0.000,human
4,11,B,0.000,human
4,12,B,0.000,human
4,13,B,0.000,human
4,14,B,0.000,human
4,15,B,0.000,human
5,11,B,0.000,human
5,12,B,0.000,human
5,13,B,0.000,human
5,14,B,0.000,human
5,15,B,0.000,human
6,11,B,0.000,human
6,12,B,0.000,human
6,13,B,0.000,human
6,14,B,0.000,human
6,15,B,0.000,human
7,11,B,0.000,human
7,12,B,0.000,human
7,13,B,0.000,human
7,14,B,0.000,human
7,15,B,0.000,human
8,11,B,0.000,human
8,12,B,0.000,human
8,13,B,0.000,human
8,14,B,0.000,human
8,15,B,0.000,human
9,11,B,0.000,human
9,12,B,0.000,human
9,13,B,0.000,human
9,14,B,0.000,human
9,15,B,0.000,human
10,11,B,0.000,human
10,12,B,0.000,human
10,13,B,0.000,human
10,14,B,0.000,human
10,15,B,0.000,human
